"uniqueId","createTimeISO","text"
"saintsaiya79","2025-01-04T13:50:26.000Z","cek dong pasar tradisional sama supermarket...kmkna juga ikut naik😂😂😂"
"userft21ydga04","2025-01-04T10:09:21.000Z","jokowi itu orang baik bahkan setara tuhan yesus dia harusnya mimpin dunia karna hanya dia yaang bisa menggantikan tuhan yesus GBU🙏"
"majide8883","2025-01-04T18:09:13.000Z","sengaja di umumin mepet pdhl pengusaha,finance dll udh settle penyesuaian harga. intinya pemerintah seolah berpihak rakyat pdhl ppn 12% jln terus🤣"
"slametturuselalu","2025-01-04T07:18:31.000Z","makanya dpikir dulu sblm ngomong naikin😅"
"hendraramdhani30","2025-01-04T10:25:16.000Z","PPN 11 persen saja sudah tidak manusiawi !"
"bimobimoprabowo","2025-01-04T09:15:06.000Z","METRO TV ADA KERANJANG KUNING, DAGANG JUGA U ?😂😅"
"kolo_gemit","2025-01-04T12:15:49.000Z","bikin susah rakyat aja.😬"
"blasioblack366","2025-01-05T14:20:18.000Z","😂😂😂😂 penipu"
"hafitgr","2025-01-04T15:43:00.000Z","Mereka yg bikin masalah, rakyat yg disuruh ribet"
"taufik_elaelo","2025-01-04T09:10:55.000Z","😂😂😂
9600 simba kokocrunch...
sekarang 10600
bjir... cek indomaret"
"lawet","2025-01-04T09:03:40.000Z","dimana2 ya udh ada isu 12% nih, para IT perusahaan udh siap mengupgrade sistem nya naikin dri 11% ke 12%, tiba2 nih MALAM TAHUN BARU di tunda kenaikan PPN, emang dikira sejam 2 jam kelar itu nyesuaiin sistemnya lagi :') contoh ni ya top up game yg lgi rame tuh"
"korbanongkir","2025-01-05T23:18:33.000Z","sein kanan belok kiri"
"bangsate1000","2025-01-04T14:22:36.000Z","lebih baik Hantriono joko susilo mundur untuk pertgjwban kegagalan cortex"
"rrezaditya","2025-01-04T08:34:43.000Z","PPN 12 persen tanggung 50 persen
biar sengsara masyarakat👥👥👥"
"khairulazmy8","2025-01-04T08:24:11.000Z","kemarin gwe di hujat"
"from_eggs","2025-01-06T16:29:23.000Z","mereka lupa efek domino. mau tidak mau, suka tidak suka, murah atau mahal. semua kena imbas.... lets see"
"masmasraincity","2025-01-04T14:14:22.000Z","netizen nyalahin pemerintah mulu 😂 padahal pengusaha yang gatel pgn naikin harga wkwkwk.."
"d4ncute","2025-01-04T08:02:04.000Z","Ribettt amat pak"
